2021-12-20 13:09:32.559 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:33.288 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:34.406 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:35.123 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:35.866 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:38.281 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:39.047 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:39.768 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:40.580 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:41.299 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:42.018 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:42.739 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:43.459 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:44.155 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:55.475 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:56.183 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:57.535 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:58.646 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:09:59.364 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:00.084 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:00.804 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:01.500 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:02.243 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:02.940 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:03.753 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:04.474 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:05.193 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:05.956 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:06.930 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:32.137 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:32.889 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:34.356 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:35.094 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:55.937 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:56.686 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:57.940 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:58.705 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:10:59.424 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:00.141 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:00.864 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
